year	number	party_name	report_date	report_url	verify_url
2019	6	Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	 30.03.2020 	/politparty/finance/svodn_otchet_19/SPRAVEDLIVAYA.PDF	/politparty/finance/svodn_otchet_19/SPRAVEDLIVAYA.doc
2019	7	Всероссийская политическая партия «ПАРТИЯ РОСТА»	 27.03.2020 	/politparty/finance/svodn_otchet_19/PARTIY ROSTA.PDF	/politparty/finance/svodn_otchet_19/PARTIY ROSTA.doc
2019	8	Политическая партия «Партия народной свободы» (ПАРНАС)	 21.02.2020 	/politparty/finance/svodn_otchet_19/PARNAS.PDF	/politparty/finance/svodn_otchet_19/PARNAS.docx
2019	9	Политическая партия «Демократическая партия России»	 26.03.2020 	/politparty/finance/svodn_otchet_19/DEMOKR.PARTIYA.PDF	/politparty/finance/svodn_otchet_19/DEMOKR.PARTIYA.doc
2019	10	Политическая партия «ПАРТИЯ ПРОГРЕССА»	 26.03.2020 	/politparty/finance/svodn_otchet_19/PROGRESSA.PDF	/politparty/finance/svodn_otchet_19/PROGRESSA.doc
2019	11	Политическая партия «Коммунистическая партия социальной справедливости»	 30.03.2020 	/politparty/finance/svodn_otchet_19/KPSS.PDF	/politparty/finance/svodn_otchet_19/KPSS.doc
2019	12	Политическая партия «РОССИЯ БУДУЩЕГО»	 24.03.2020 	/politparty/finance/svodn_otchet_19/ROSSIA_BUDUSHEGO.PDF	/politparty/finance/svodn_otchet_19/ROSSIA_BUDUSHEGO.doc
2019	13	Политическая партия «Российская экологическая партия «Зелёные»	 11.03.2020 	/politparty/finance/svodn_otchet_19/ZELENIYE.PDF	/politparty/finance/svodn_otchet_19/ZELENIYE.docx
2019	14	Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	 30.03.2020 	/politparty/finance/svodn_otchet_19/KOMMUNISTY_ROSSII.PDF	/politparty/finance/svodn_otchet_19/KOMMUNISTY_ROSSII.doc
2019	15	Общественная организация ─ политическая партия «РОССИЙСКИЙ ОБЩЕНАРОДНЫЙ СОЮЗ»	 02.04.2020 	/politparty/finance/svodn_otchet_19/ROS.PDF	/politparty/finance/svodn_otchet_19/ROS.doc
