href,title,_text
/download/9794D041-24A9-4F96-8BF0-BC1A9686D3BC,29.09.2022 13:26:01 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПРАВИЛА ПРЕДОСТАВЛЕНИЯ ИНЫХ МЕЖБЮДЖЕТНЫХ ТРАНСФЕРТОВ ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ НА СОЗДАНИЕ МОДЕЛЬНЫХ МУНИЦИПАЛЬНЫХ БИБЛИОТЕК В ЦЕЛЯХ РЕАЛИЗАЦИИ НАЦИОНАЛЬНОГО ПРОЕКТА ""КУЛЬТУРА"""
/download/DA8FCDB2-D521-40F6-A93C-0E5F7EB6293C,29.09.2022 10:59:15 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПРАВИЛА РАСПРЕДЕЛЕНИЯ И ПРЕДОСТАВЛЕНИЯ ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА СУБСИДИЙ БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ НА ПОДДЕРЖКУ ЭКОНОМИЧЕСКОГО И СОЦИАЛЬНОГО РАЗВИТИЯ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА, СИБИРИ И ДАЛЬНЕГО ВОСТОКА РОССИЙСКОЙ ФЕДЕРАЦИИ В РАМКАХ РЕАЛИЗАЦИИ ГОСУДАРСТВЕННОЙ ПРОГРАММЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ""РЕАЛИЗАЦИЯ ГОСУДАРСТВЕННОЙ НАЦИОНАЛЬНОЙ ПОЛИТИКИ"" (Комитет Государственной Думы по бюджету и налогам)"
/download/1186C4AB-D40F-4D07-B725-9D2600EACDE4,29.09.2022 11:50:53 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),Постановдение Об утверждении государственной программы Российской Федерации «Социально-экономическое развитие Республики Крым и г. Севастополя» (Комитет Государственной Думы по бюджету и налогам)
/download/939E1F5F-8CC1-407C-83B4-8BDA97D3E04F,29.09.2022 13:11:21 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),Субсидии на Развитие инфраструктуры дорожного хозяйства (правила)
/download/1A9B90F8-2587-4E57-AD7E-84774F4B3D60,29.09.2022 13:31:08 разместил пользователь Кочнов Дмитрий Александрович (Аппарат Комитета Государственной Думы по бюджету и налогам),Субсидии на Оснащение оборудованием региональных сосудистых центров и первичных сосудистых отделений(расчет)
/download/B9D1051E-38FB-4D41-883F-D4CE349CC256,29.09.2022 11:38:04 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),Реализация дополнительных мероприятий в сфере занятости населения (Расчет) (Комитет Государственной Думы по бюджету и налогам)
/download/BF3E4366-4DA9-4FB7-8346-A67B2B8CCB82,29.09.2022 14:15:47 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),Субсидии на реализацию мероприятий субъектов Российской Федерации в сфере реабилитации и абилитации инвалидов (Расчеты) (Комитет Государственной Думы по бюджету и налогам)
/download/82BB7A1D-681B-4345-B680-0876982B4771,29.09.2022 11:11:33 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПОСТАНОВЛЕНИЕ ОБ УТВЕРЖДЕНИИ ГОСУДАРСТВЕННОЙ ПРОГРАММЫ РОССИЙСКОЙ ФЕДЕРАЦИИ ""ОБЕСПЕЧЕНИЕ ДОСТУПНЫМ И КОМФОРТНЫМ ЖИЛЬЕМ И КОММУНАЛЬНЫМИ УСЛУГАМИ ГРАЖДАН РОССИЙСКОЙ ФЕДЕРАЦИИ"" (Комитет Государственной Думы по бюджету и налогам)"
/download/2FB9F138-FDD1-457E-8C7F-2368D001C897,29.09.2022 12:51:18 разместил пользователь Перегудов Никита Сергеевич (Аппарат Комитета Государственной Думы по бюджету и налогам),"Проект Постановления Правительства Российской Федерации О ВНЕСЕНИИ ИЗМЕНЕНИЙ В ПОСТАНОВЛЕНИЕ ПРАВИТЕЛЬСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ОТ 6 ФЕВРАЛЯ 2021 Г. № 118 «ОБ УТВЕРЖДЕНИИ ПРАВИЛ ПРЕДОСТАВЛЕНИЯ И РАСПРЕДЕЛЕНИЯ ИНЫХ МЕЖБЮДЖЕТНЫХ ТРАНСФЕРТОВ, ИМЕЮЩИХ ЦЕЛЕВОЕ НАЗНАЧЕНИЕ, ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В ЦЕЛЯХ СОФИНАНСИРОВАНИЯ РАСХОДНЫХ ОБЯЗАТЕЛЬСТВ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ФИНАНСОВОМУ ОБЕСПЕЧЕНИЮ (ВОЗМЕЩЕНИЮ) ПРОИЗВОДИТЕЛЯМ ЗЕРНОВЫХ КУЛЬТУР ЧАСТИ ЗАТРАТ НА ПРОИЗВОДСТВО И РЕАЛИЗАЦИЮ ЗЕРНОВЫХ КУЛЬТУР»"
/download/1FE6675B-53ED-4830-91E1-04C30B38A562,29.09.2022 11:26:44 разместил пользователь Корниенко Алина Владимировна (Аппарат Комитета Государственной Думы по бюджету и налогам),"ПРАВИЛА ПРЕДОСТАВЛЕНИЯ СУБСИДИЙ ИЗ ФЕДЕРАЛЬНОГО БЮДЖЕТА БЮДЖЕТАМ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ НА СОФИНАНСИРОВАНИЕ РАСХОДОВ, СВЯЗАННЫХ С ОПЛАТОЙ ОКАЗАННЫХ СПЕЦИАЛИСТАМ РОССИЙСКИМИ ОБРАЗОВАТЕЛЬНЫМИ ОРГАНИЗАЦИЯМИ УСЛУГ ПО ОБУЧЕНИЮ В СООТВЕТСТВИИ С ГОСУДАРСТВЕННЫМ ПЛАНОМ ПОДГОТОВКИ УПРАВЛЕНЧЕСКИХ КАДРОВ ДЛЯ ОРГАНИЗАЦИЙ НАРОДНОГО ХОЗЯЙСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ В 2018/19 - 2024/25 УЧЕБНЫХ ГОДАХ (Комитет Государственной Думы по бюджету и налогам)"
